Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato
0.47,-0.0048,0.0018,0.0004,-0.0022,0.0038,0.0042,47.810001,13.04009,423.69,14.923,0.018,0.039,499.4,498.81
0.48,-0.0023,0.0046,-0.0011,0.0025,-0.0003,0.0016,47.809996,13.0401,422.2,15.019,0.025,0.032,499.87,499.83
0.49,-0.0007,-0.001,0.002,-0.0014,-0.0002,-0.0006,47.809996,13.040098,426.73,15.014,-0.015,0.002,499.09,499.9
0.5,-0.0019,0.0013,-0.0022,-0.0022,0.0024,-0.0024,47.810005,13.040103,421.13,14.971,0.028,-0.008,499.68,500.53
0.51,0.0022,0.0053,0.0044,-0.0011,-0.0017,-0.0059,47.81,13.0401,421.56,15.031,0.019,-0.046,500.23,499.08
0.52,-0.0033,0.0019,0.0018,0.0008,-0.0015,-0.0043,47.809996,13.040109,421.28,15.022,-0.062,0.04,499.65,499.32
0.53,-0.0006,0.0049,0.001,-0.0008,-0.0011,-0.0014,47.810002,13.040104,421.53,14.957,0.074,0.034,500.45,499.29
0.54,-0.0027,0.0002,0.0012,0.0013,-0.0027,0.0012,47.809995,13.040108,423.21,15.084,-0.003,0.068,500.58,500.11
0.55,-0.0014,-0.0036,-0.0035,0.0029,-0.0056,-0.0101,47.809998,13.040114,423.87,15.005,-0.03,0.048,499.33,500.44
0.56,0.0031,0.0006,0.0025,-0.0095,0.0034,0.0017,47.809997,13.040111,424,14.97,0.025,-0.088,500.07,500.5
0.57,0.0022,0.0007,-0.0016,0.002,0.0003,-0.0039,47.81,13.04011,422.92,15.009,0.023,0,500.2,501.11
0.58,0.0017,-0.0037,0.0012,0.0005,-0.0002,-0.0004,47.810002,13.040117,424.83,15.025,-0.008,0.023,499.57,500.92
0.59,0.0022,0.0038,0.0007,0.0032,0.0029,-0.0035,47.810001,13.040117,421.33,15.066,-0.057,-0.001,499.14,499.62
0.6,-0.0004,0,0.0037,-0.0017,-0.0041,0.0062,47.810004,13.040117,422.98,14.998,0.032,0.01,500.05,500.53
0.61,-0.0039,0.0025,-0.0045,0.0002,-0.0024,0.0049,47.810001,13.040127,423.76,15.032,-0.002,0.021,500.35,499.61
0.62,0.002,-0.0038,0.0018,-0.0012,-0.0001,0.0023,47.810003,13.040121,425.92,14.999,0.004,-0.007,499.27,500.01
0.63,0.002,-0.0001,0.0034,0.0009,-0.0017,-0.0045,47.810005,13.040129,425.8,14.975,-0.056,-0.024,500.48,499.48
0.64,0,-0.001,-0.0004,0.0042,0.0068,-0.0025,47.810001,13.040131,425.54,15.045,-0.035,-0.004,500.44,500.45
0.65,-0.0027,0.0025,0.0009,0.0023,0.001,0.0014,47.809997,13.04013,421.1,14.971,0.01,-0.014,499.48,500.2
0.66,-0.0072,0.0005,-0.0035,-0.0004,0.0031,0.0056,47.809996,13.040132,423.51,15.041,0.045,0.001,499.61,500.14
0.67,0.0028,0.0009,-0.0006,-0.0007,-0.0017,0.0033,47.810001,13.040137,424.49,14.963,0.032,0.025,499.83,500.68
0.68,0.0016,-0.0028,-0.0062,0.0046,-0.0032,0.0008,47.810001,13.040137,426.93,15.017,0.06,-0.015,499.74,499.46
0.69,-0.0009,0.0017,0.0022,-0.0036,0.0063,0.0028,47.810003,13.040135,424.07,15.029,-0.001,-0.037,500.38,500.05
0.7,0.0057,-0.0049,0.0013,-0.0016,-0.0039,0.0065,47.810003,13.040142,422.61,15.001,0.006,-0.014,500.76,499.45
0.71,-0.0034,0.0022,-0.0038,-0.0025,0,0.0001,47.810004,13.040138,425.66,15.033,0.044,0.014,500.6,499.21
0.72,0.0023,-0.0048,0.0065,0.0017,-0.0028,0.0002,47.810002,13.040149,423.67,14.998,0.036,0.021,499.75,500.37
0.73,0.0006,0.0004,0.0027,0.004,0.0033,-0.0056,47.809998,13.040149,421.73,15.02,0.044,-0.015,500.1,499.31
0.74,-0.0018,-0.0011,0.0008,0.0017,0.0009,-0.0008,47.810003,13.04015,423.82,15.071,-0.001,0.023,500.26,499.91
0.75,0.0036,-0.0006,-0.0021,0.0011,0.0045,0.0017,47.809996,13.040155,423.1,14.979,0.008,0.047,500.78,500.12
0.76,0.0011,0.0018,0.0057,-0.0031,0.0007,0.0002,47.810003,13.040155,425.39,15.029,-0.009,0.011,498.97,499.6
0.77,-0.0004,-0.0026,0.0012,0.0016,0.0015,0.0002,47.809998,13.040151,424.12,14.984,0.021,0.045,499.98,500.33
0.78,0.0013,-0.0012,0.0043,-0.0019,-0.0045,0.0032,47.809998,13.040156,426.96,14.997,-0.016,-0.052,499.84,500.07
0.79,-0.0019,-0.0026,0.0001,0.0014,0.0015,0,47.810004,13.040158,421.32,15.026,0.042,-0.003,500.59,500.26
0.8,-0.0039,0.0023,-0.0021,-0.0002,0.0004,0.003,47.810003,13.040156,422,15.033,0.001,0.015,500.12,499.65
0.81,0.0032,-0.0014,-0.0016,-0.0011,0.0027,-0.0063,47.809997,13.040163,423.79,14.997,-0.008,-0.009,500.63,500.15
0.82,0.004,-0.0012,0.0013,0.0026,-0.0027,0.007,47.81,13.040166,421.92,15.023,0,-0.038,499.42,500.24
0.83,-0.0003,-0.003,0.0021,0.0039,0.0017,-0.0018,47.810002,13.040169,426.02,15.032,0.026,0.058,500.27,499.02
0.84,0.0001,-0.0041,-0.0005,-0.0036,-0.001,-0.0006,47.809995,13.040164,424.5,14.965,-0.017,-0.015,499.76,500.44
0.85,-0.0036,0.0037,0.004,-0.0013,-0.0016,0.0025,47.810003,13.040167,423.69,15.036,0.027,-0.027,500.34,500
0.86,-0.0007,-0.0008,0.0003,0.0036,0.0005,0.0015,47.810003,13.040171,422.47,15.004,0.009,-0.004,499.57,499.84
0.87,0.0015,-0.0017,0.0009,-0.0042,-0.0005,-0.0018,47.809998,13.040172,423.89,15.025,-0.027,0.017,500.32,500.14
0.88,-0.002,0.0011,-0.0024,-0.0034,0.0027,0.0013,47.809996,13.040179,423.31,14.958,0.006,-0.007,500.31,500.38
0.89,-0.001,0.0046,-0.0011,0.0028,-0.0008,-0.0027,47.809997,13.04018,421.98,15.036,0.008,-0.049,500.89,499.47
0.9,-0.0034,0.0004,-0.0027,-0.0067,-0.0031,0.0053,47.810002,13.040184,421.55,14.968,-0.009,0.027,501.07,500.36
0.91,-0.0008,-0.0026,-0.0002,-0.0031,0.0012,-0.0062,47.809998,13.04018,422.03,14.975,-0.046,-0.057,499.88,499.71
0.92,-0.0024,-0.0002,0.0006,0.0022,-0.0015,0.0054,47.810002,13.040184,425.72,14.988,0.046,0.042,500.04,500.59
0.93,0.0012,0.0001,0.0066,0.0034,0.0015,-0.0039,47.810001,13.040189,425.11,14.967,0.021,0.007,500,499.83
0.94,0.005,-0.0049,0.0013,0.0051,0,0.0038,47.810004,13.040193,425.64,14.962,-0.01,0.032,500.5,499.75
0.95,0.0011,0.0024,0.0062,-0.0023,-0.0027,0.0039,47.810001,13.040192,423.9,15.016,0.027,0.031,499.94,500.02
0.96,0.0019,0.0038,0.0028,0.0041,0.0034,0.0047,47.810001,13.040193,424.97,14.987,-0.046,-0.021,498.94,499.84
0.97,-0.0049,0,0.0053,-0.0005,-0.0029,0.0026,47.81,13.040193,422.94,14.964,-0.023,-0.038,499.44,499.63
0.98,-0.004,-0.0059,0.0025,0.0005,-0.0014,0.0058,47.810004,13.040195,421.14,14.995,0.032,0.036,500.34,499.17
0.99,-0.0012,0.0025,-0.0056,0.0046,0.0039,0.0028,47.810004,13.040197,424.17,15.059,-0.06,0.015,500.16,499.26
1,0.002,-0.003,-0.0011,0.0001,0.0021,-0.0057,47.810003,13.040197,426.33,14.99,-0.041,0.002,499.78,501.37
1.01,0.0022,-0.0012,0.0048,0.0023,-0.0005,0.0025,47.810002,13.040205,422.58,15.011,-0.024,-0.042,499.7,501.17
1.02,-0.0017,0.003,-0.0025,0.0037,-0.0025,0.0003,47.810003,13.040205,421.45,14.991,0.033,-0.005,499.53,500.07
1.03,0.0009,0.0038,-0.0008,0.0005,-0.0047,-0.0028,47.809995,13.040204,424.67,14.983,-0.003,0.036,500.61,500.96
1.04,0.0002,-0.0026,0.001,0.0022,0.0007,-0.003,47.809998,13.040208,422.24,15.013,0.032,-0.024,500.02,499.54
1.05,0.0011,-0.0015,-0.0016,0.0013,0.0011,-0.0022,47.809998,13.040211,425.23,14.998,0.011,0.002,499.18,499.52
1.06,0.0057,-0.0003,0.0025,-0.0013,-0.0047,0.0003,47.81,13.040209,423.89,15.025,-0.021,0.052,498.9,499.98
1.07,0.001,0.0007,0.0025,0.0031,0.0046,0.0015,47.810002,13.040212,422.17,14.963,-0.011,0.008,500.22,500.11
1.08,0.0001,0.0031,-0.0018,-0.0015,0.0018,0.0063,47.809998,13.04022,422.43,15.009,0.001,-0.058,500.33,499.29
1.09,0.0018,0.0014,0.002,-0.003,-0.0039,0.0014,47.810002,13.040223,422.92,14.975,-0.038,0.01,500.55,499.38
1.1,-0.0029,0.0013,0.0018,-0.0011,0.0045,0.0007,47.81,13.040218,426.89,14.996,-0.036,-0.034,499.75,500.26
1.11,-0.0008,-0.0026,0.0025,0.0026,0.006,-0.004,47.81,13.040223,422.51,15.031,0.017,-0.011,499.92,499.99
1.12,-0.0021,0.0009,0.0017,0.0018,0.0024,0.006,47.81,13.040221,422.81,14.993,0.003,-0.019,499.28,499.82
1.13,-0.0014,0.0005,0.0038,0.0019,-0.0012,-0.0027,47.809997,13.040226,426.4,15.054,-0.028,-0.011,500.12,499.71
1.14,-0.0002,-0.0046,0.0023,-0.0025,-0.0017,0.003,47.810001,13.04023,425.4,14.972,-0.046,0.007,499.24,500.38
1.15,0.0008,0.0028,-0.0028,0.0058,0.0068,0.0049,47.809999,13.040227,421.54,15.059,-0.011,0.029,499.49,500.35
1.16,-0.0023,0.0007,0.0043,-0.0003,0.0047,0.003,47.809996,13.040235,422.93,14.973,-0.016,0.04,500.33,501.03
1.17,-0.0021,-0.0012,-0.0007,0.0003,0.004,-0.0037,47.810003,13.040231,425.03,14.985,0.036,0.004,499.86,500.22
1.18,-0.0002,-0.0018,0.0042,-0.0048,0.0016,0.0035,47.810002,13.040234,421.69,14.97,-0.089,-0.009,500.19,499.94
1.19,-0.0046,-0.0041,-0.0047,0.0003,0.0011,0.0008,47.81,13.04024,425.36,15,-0.023,-0.031,499.83,499.24
1.2,-0.001,-0.0012,-0.0018,0.0019,-0.002,-0.0061,47.810004,13.040243,426.37,14.991,-0.051,0.006,500.17,500.45
1.21,-0.0059,0.0021,0.0023,0.004,-0.0016,-0.0034,47.810005,13.040243,422.1,15.006,0.001,0.021,500,499.05
1.22,-0.001,0.002,0.0036,0.002,-0.0036,-0.0059,47.809998,13.040247,424.61,15.029,0.035,0.04,500.12,500.69
1.23,-0.0005,-0.002,0.0018,0.0037,-0.0014,-0.0043,47.809995,13.040252,422.17,15.009,0.001,-0.025,499.99,499.86
1.24,0.0055,0.0023,0.0037,-0.0024,0.0038,0.0002,47.809996,13.04025,424.31,14.977,-0.019,0.036,500.11,500.96
1.25,-0.0031,-0.0044,-0.0025,0.0015,-0.0001,0.004,47.810003,13.040251,425.3,15.024,0.026,0.004,499.56,500.38
1.26,0.0003,0.0016,0.001,-0.0002,-0.003,0.003,47.810004,13.040254,421.66,14.969,-0.005,-0.005,499.41,498.52
1.27,-0.0063,0.0032,0.0037,-0.003,-0.0026,-0.0014,47.810004,13.04025,424.2,14.993,0.019,0.018,500.86,500.9
1.28,0.0021,-0.0027,-0.0032,0.0025,0.001,0.0046,47.810003,13.04026,421.49,15.055,0.067,0.018,500.29,499.89
1.29,0.0019,0.0053,-0.001,-0.0035,-0.0013,0.0051,47.809995,13.040264,421.08,14.967,-0.027,-0.06,500.35,499.62
1.3,0.0001,0.0004,0.0003,0.0026,0.0002,0.0013,47.810002,13.040261,422.03,15.021,0.004,0.006,499.89,499.61
1.31,-0.0032,-0.0047,0.0038,-0.0004,-0.0036,-0.0056,47.810003,13.040265,423.19,14.971,-0.019,0.027,499.88,500.03
1.32,0.0043,0.0039,-0.0002,0.0053,0,0.0023,47.810003,13.040265,421.47,15.094,0.041,-0.045,499.9,501.13
1.33,-0.0024,-0.0004,-0.0048,0.0073,0.0017,0.003,47.809999,13.04027,421.64,15.025,-0.01,-0.055,500.32,500.33
1.34,0.0023,0.0026,-0.0008,0.0007,0.0024,0.001,47.81,13.040265,425.35,15.002,-0.012,-0.038,499.96,499.52
1.35,-0.0041,0.0016,0.0037,0.0051,-0.0002,0.0028,47.810001,13.040269,423.16,15.014,0.043,-0.019,500.33,499.73
1.36,-0.0011,-0.0008,-0.002,-0.0011,-0.002,0.0007,47.810004,13.040269,426.34,15.036,0.002,0,499.63,500.38
1.37,-0.0072,0.002,0.0022,-0.0058,0,0.0052,47.809998,13.040278,423.39,15.04,0.003,-0.039,500.03,500.39
1.38,-0.0027,-0.0006,-0.0051,0.0021,-0.0014,0.0007,47.809997,13.040276,426.75,14.977,-0.03,-0.01,500.29,499.31
1.39,0.0084,0,0.0043,0.0006,-0.0022,0.001,47.81,13.040282,424.28,15.048,0.002,0.008,499.88,500.11
1.4,-0.0008,0.0031,0.0045,0.0001,0.0026,-0.0017,47.81,13.040284,425.65,15.039,-0.029,-0.015,499.56,500.6
1.41,-0.0003,0.0026,-0.01,-0.0024,0.0037,0.0029,47.810001,13.040287,424.82,14.966,0.048,-0.062,499.99,500.09
1.42,-0.0027,0.0045,-0.0006,0.0023,-0.0038,-0.0003,47.809996,13.040282,425.18,15.013,-0.067,0.017,499.8,500.48
1.43,-0.0022,-0.0025,0.0009,-0.0009,0.0022,0.0013,47.809999,13.040287,421.35,14.988,-0.048,-0.027,499.51,500.18
1.44,-0.0043,-0.0012,0.0021,0.0005,-0.0049,-0.0052,47.809999,13.040286,426.65,14.975,-0.038,0.037,499.56,500.44
1.45,-0.0027,-0.0052,0.0022,-0.0023,-0.0055,-0.0033,47.809999,13.040288,423.75,15.006,-0.071,-0.006,500.55,500.69
1.46,0.0045,-0.0016,0.0041,-0.0007,0.009,0.0018,47.809998,13.040293,426.59,14.972,-0.029,-0.021,500.23,500.48
1.47,-0.0009,0.0023,0.002,0.0004,0.0024,0.0019,47.810002,13.040293,421.68,15.047,-0.016,-0.015,499.78,499.66
1.48,0.0073,0.0048,0.0052,-0.0012,-0.0048,0.0034,47.809998,13.040295,421.47,14.97,0.013,-0.008,500.26,500.83
1.49,0.0019,-0.0038,-0.0036,-0.0048,0.0015,-0.0025,47.810003,13.040299,424.54,14.976,-0.011,-0.03,500.5,500.11
1.5,-0.0024,-0.0038,-0.0031,-0.0033,-0.0018,-0.0005,47.809999,13.040302,425.26,14.972,-0.025,-0.033,499.71,499.8
1.51,0.0013,0.0002,-0.003,0.0008,-0.0003,-0.0019,47.810003,13.040303,422.04,15.023,-0.029,0.02,499.7,500
1.52,-0.0016,0.0039,0.0002,0.0044,-0.0025,0.0014,47.810001,13.040304,423.95,15.002,0.004,0.033,500.57,499.39
1.53,0.0007,0.0007,-0.0041,-0.001,0.0013,-0.0012,47.809997,13.040309,424.44,14.997,0.005,-0.008,500.01,500.72
1.54,0.0002,-0.0038,0.0005,-0.0012,-0.0029,-0.0041,47.810003,13.040304,422.79,15.06,0.003,0.001,498.83,501.26
1.55,-0.0014,-0.0001,-0.0042,-0.0033,0.0002,0.0023,47.809996,13.04031,422.87,15.011,-0.012,0.003,499.43,500.64
1.56,0.001,-0.0004,-0.0001,0.0041,-0.0018,0.0053,47.81,13.040317,425.49,15.01,-0.018,-0.004,500,499.44
1.57,0.0015,0.0015,-0.0002,-0.0017,0.0014,0.0009,47.810002,13.040312,423.33,14.993,-0.006,0.043,499.9,499.51
1.58,0.003,-0.0005,0.002,-0.0084,-0.0038,0.0028,47.810005,13.04032,421.55,15.039,-0.015,0.023,500.28,500.53
1.59,0.0004,0.0034,0.0037,-0.005,-0.0008,0.0023,47.810002,13.040323,423.26,15.031,-0.004,-0.007,499.58,499.87
1.6,0.0044,-0.0014,-0.0014,0.0033,0.0016,0.0023,47.809997,13.040323,424.3,15.008,0.022,-0.002,500.07,500.46
1.61,-0.0049,-0.0008,0.0043,-0.0016,-0.0031,0.0004,47.809998,13.040319,424.99,15.007,-0.024,0.03,499.81,500.17
1.62,0.0022,0.0032,0.0009,0.0009,0.0048,0.005,47.810001,13.040323,423.34,15.047,0.011,-0.062,499.56,501.06
1.63,0.0018,0.0008,-0.0046,-0.0053,-0.005,0.003,47.809999,13.040323,421.03,14.989,-0.02,0.02,500.5,500.44
1.64,-0.002,-0.0028,0.0058,-0.005,0.0014,-0.0002,47.810002,13.04033,426.16,15.016,0.026,0.031,500.41,499.58
1.65,-0.0029,0.0028,-0.0007,-0.0015,0.0038,-0.0008,47.809996,13.040327,424.09,15.02,-0.051,0.028,499.54,499.93
1.66,0.0053,-0.0053,-0.0007,-0.0047,0.0007,-0.0002,47.809999,13.040329,422.88,15.032,0.037,-0.039,500.16,499.41
1.67,0.0048,-0.0011,0.0056,-0.0017,-0.0029,-0.0025,47.810005,13.04034,421.86,15.034,0.001,0.002,499.8,500.17
1.68,0.0012,-0.0046,0.0035,-0.0046,-0.0001,-0.0021,47.810003,13.040334,421.27,15.023,0.057,0.001,499.9,500.54
1.69,0.0026,-0.0017,-0.004,-0.0071,0.0029,-0.0031,47.810003,13.04034,422.19,14.992,-0.011,-0.025,500.63,499.93
1.7,0.0014,-0.0008,-0.0011,0.0005,0.0016,0.0006,47.810004,13.040342,426.79,14.956,0.003,0.03,499.68,500.22
1.71,-0.0025,0.0027,0.0023,-0.004,0.0013,0.0027,47.810001,13.040341,426.64,14.969,-0.065,-0.049,498.63,499.16
1.72,0.0013,0.0006,-0.0011,-0.0018,-0.0009,-0.0068,47.810004,13.040341,423.58,15.022,-0.024,0.022,500.32,499.89
1.73,0.0046,-0.0024,0.0002,-0.0016,0.0092,0.0029,47.809997,13.04035,424.09,14.947,0.019,-0.002,500.84,500.05
1.74,-0.0026,-0.0002,-0.0028,0.0015,0.0029,0.0029,47.810002,13.040353,425.06,14.981,0.022,-0.016,500.29,499.48
1.75,-0.0029,-0.005,-0.0027,0.0064,-0.0024,0.0031,47.809998,13.040347,424.65,14.975,0.004,0.007,499.46,499.29
1.76,-0.0002,-0.0023,-0.002,0.0005,0.0046,-0.0019,47.810002,13.040349,423.39,14.998,-0.048,-0.033,499.99,499.77
1.77,-0.0031,-0.0044,-0.0053,-0.0006,-0.0009,0.0076,47.810002,13.040354,423.3,15.031,0.01,0.015,499.62,499.11
1.78,0.0002,-0.0009,0.0011,-0.0041,0.0002,-0.003,47.810004,13.040358,426.22,15.013,-0.033,0.002,500.44,499.28
1.79,-0.0096,-0.001,-0.0005,-0.0012,0.0036,-0.0012,47.810004,13.040356,423.68,15.018,0.03,0.031,500.51,499.73
1.8,0.0025,0.0032,-0.0004,0.0002,-0.0011,0.0006,47.809996,13.040364,421.25,14.927,-0.001,-0.025,500.87,499.64
1.81,0.001,-0.0034,0.0027,-0.0026,-0.0043,0.0025,47.810005,13.040361,422.56,15.013,-0.03,-0.029,501.22,499.33
1.82,0.0026,0.0026,0.0042,-0.0006,0.0007,-0.0029,47.809997,13.04037,426.92,15.05,-0.015,0.032,498.87,499.7
1.83,-0.0013,0.0021,0.001,0.0025,0.0002,-0.0003,47.81,13.040371,424.08,15.078,0.037,0.048,500.63,499.4
1.84,-0.0045,-0.0042,-0.0024,-0.0007,-0.0013,0.0036,47.809998,13.040372,425.32,15.02,0.007,-0.01,499.77,499.81
1.85,-0.0024,-0.0002,0.0002,0.0032,-0.0002,-0.0037,47.810002,13.040376,426.77,14.96,0.025,-0.011,500.9,501.1
1.86,0.001,0.0001,-0.0003,0.0017,-0.0032,-0.0039,47.810005,13.040375,426.77,14.972,0.047,0.017,499.99,499.75
1.87,0.0059,-0.0012,-0.001,-0.0012,0.0072,-0.0003,47.809995,13.040374,423.08,14.981,0.002,-0.012,499.85,499.96
1.88,0.0045,0.0032,0.0013,0.0013,-0.0024,0.0004,47.810002,13.040378,425.82,15.001,0,0.041,500.14,500.24
1.89,-0.0015,-0.0059,-0.0044,-0.0015,-0.002,0.0018,47.810004,13.040384,423.17,15.025,-0.018,0.033,499.56,499.78
1.9,0.003,-0.0016,0.0002,0.0029,0.002,0.0003,47.81,13.040378,426.12,15.039,0.018,0.029,499.85,500.34
1.91,0.0039,0.0018,-0.0014,-0.0012,-0.0006,-0.0004,47.810005,13.040382,421.08,15.06,-0.02,-0.017,499.92,499.75
1.92,-0.0015,0.0024,-0.0014,0.0014,0.005,-0.0002,47.810004,13.040384,421.39,15.018,0.04,-0.018,500.11,500.63
1.93,0.0029,-0.0043,0.0032,0.0002,-0.0043,-0.0008,47.810002,13.040387,426.85,14.98,0.028,-0.009,499.34,499.9
1.94,0.0026,-0.0033,-0.0011,0.0045,0.0058,0.004,47.809999,13.040389,426.02,15.03,0.01,-0.005,499.87,499.02
